Feature	Portuguese	Nheengatu
INV_VOICELESS_BILABIAL_PLOSIVE_WITH_VOICELESS_BILABIAL_FRICATIVE	--	0.0
INV_VOICELESS_UVULAR_PLOSIVE	--	0.0
INV_VOICELESS_UVULAR_PLOSIVE_WITH_VOICED_UVULAR_FRICATIVE	--	0.0
INV_ALVEOLAR_TRILL	--	0.0
INV_VOICELESS_ALVEOLAR_FRICATIVE	--	1.0
INV_VOICELESS_ALVEOLAR_PLOSIVE	--	1.0
INV_VOICELESS_ALVEOLAR_PLOSIVE_WITH_VOICELESS_ALVEOLAR_FRICATIVE	--	0.0
INV_VOICELESS_ALVEOLAR_PLOSIVE_WITH_VOICELESS_ALVEOPALATAL_FRICATIVE	--	0.0
INV_VOICELESS_ALVEOLAR_PLOSIVE_WITH_VOICELESS_ALVEOLAR_LATERAL_FRICATIVE	--	0.0
INV_VOICELESS_ALVEOLAR_PLOSIVE_WITH_VOICELESS_DENTAL_FRICATIVE	--	0.0
INV_CLOSE_BACK_ROUNDED_VOWEL	--	1.0
INV_VOICED_LABIODENTAL_FRICATIVE	--	0.0
INV_VOICED_LABIAL_VELAR_APPROXIMANT	--	1.0
INV_VOICELESS_VELAR_FRICATIVE	--	0.0
INV_CLOSE_FRONT_ROUNDED_VOWEL	--	0.0
INV_OPEN_OPEN_MID_FRONT_UNROUNDED_VOWEL	--	0.0
INV_VOICELESS_PALATAL_FRICATIVE	--	0.0
INV_VOICED_DENTAL_FRICATIVE	--	0.0
INV_CLOSE_MID_FRONT_ROUNDED_VOWEL	--	0.0
INV_VOICELESS_PHARYNGEAL_FRICATIVE	--	0.0
INV_VELAR_NASAL	--	0.0
INV_OPEN_MID_FRONT_ROUNDED_VOWEL	--	0.0
INV_OPEN_OPEN_MID_CENTRAL_UNROUNDED_VOWEL	--	0.0
INV_OPEN_BACK_UNROUNDED_VOWEL	--	0.0
INV_OPEN_BACK_ROUNDED_VOWEL	--	0.0
INV_VOICED_BILABIAL_IMPLOSIVE	--	0.0
INV_OPEN_MID_BACK_ROUNDED_VOWEL	--	0.0
INV_VOICELESS_ALVEOPALATAL_FRICATIVE	--	0.0
INV_VOICED_RETROFLEX_PLOSIVE	--	0.0
INV_VOICED_RETROFLEX_PLOSIVE_WITH_VOICED_RETROFLEX_FRICATIVE	--	0.0
INV_VOICED_ALVEOLAR_IMPLOSIVE	--	0.0
INV_CLOSE_MID_CENTRAL_UNROUNDED_VOWEL	--	0.0
INV_MID_CENTRAL_UNROUNDED_VOWEL	--	0.0
INV_OPEN_MID_FRONT_UNROUNDED_VOWEL	--	0.0
INV_OPEN_MID_CENTRAL_UNROUNDED_RHOTIC_VOWEL	--	0.0
INV_OPEN_MID_CENTRAL_ROUNDED_VOWEL	--	0.0
INV_VOICED_PALATAL_PLOSIVE	--	0.0
INV_VOICED_PALATAL_PLOSIVE_WITH_VOICED_PALATAL_FRICATIVE	--	0.0
INV_VOICED_VELAR_IMPLOSIVE	--	0.0
INV_VOICED_VELAR_PLOSIVE_WITH_VOICED_BILABIAL_PLOSIVE	--	0.0
INV_VOICED_VELAR_PLOSIVE_WITH_VOICED_VELAR_FRICATIVE	--	0.0
INV_VOICED_UVULAR_PLOSIVE	--	0.0
INV_VOICED_VELAR_FRICATIVE	--	0.0
INV_VOICED_LABIAL_PALATAL_APPROXIMANT	--	0.0
INV_VOICED_GLOTTAL_FRICATIVE	--	0.0
INV_VOICELESS_POSTALVEOLAR_VELAR_FRICATIVE	--	0.0
INV_CLOSE_CENTRAL_UNROUNDED_VOWEL	--	0.0
INV_CLOSE_CLOSE_MID_HIGH_FRONT_UNROUNDED_VOWEL	--	0.0
INV_VOICED_VELARIZED_LATERAL_APPROXIMANT	--	0.0
INV_VOICELESS_ALVEOLAR_LATERAL_FRICATIVE	--	0.0
INV_VOICED_RETROFLEX_LATERAL_APPROXIMANT	--	0.0
INV_VOICED_ALVEOLAR_LATERAL_FRICATIVE	--	0.0
INV_CLOSE_BACK_UNROUNDED_VOWEL	--	0.0
INV_VELAR_APPROXIMANT	--	0.0
INV_LABIODENTAL_NASAL	--	0.0
INV_PALATAL_NASAL	--	0.0
INV_RETROFLEX_NASAL	--	0.0
INV_UVULAR_NASAL	--	0.0
INV_CLOSE_MID_CENTRAL_ROUNDED_VOWEL	--	0.0
INV_OPEN_FRONT_ROUNDED_VOWEL	--	0.0
INV_VOICELESS_BILABIAL_FRICATIVE	--	0.0
INV_ALVEOLAR_APPROXIMANT	--	0.0
INV_VOICED_ALVEOLAR_LATERAL_FLAP	--	0.0
INV_RETROFLEX_APPROXIMANT	--	0.0
INV_RETROFLEX_FLAP	--	0.0
INV_ALVEOLAR_TAP	--	1.0
INV_UVULAR_TRILL	--	0.0
INV_UVULAR_APPROXIMANT	--	0.0
INV_VOICELESS_RETROFLEX_FRICATIVE	--	0.0
INV_VOICELESS_POSTALVEOLAR_FRICATIVE	--	1.0
INV_VOICED_PALATAL_IMPLOSIVE	--	0.0
INV_VOICELESS_RETROFLEX_PLOSIVE	--	0.0
INV_VOICELESS_RETROFLEX_PLOSIVE_WITH_VOICELESS_RETROFLEX_FRICATIVE	--	0.0
INV_CLOSE_CENTRAL_ROUNDED_VOWEL	--	0.0
INV_LABIODENTAL_APPROXIMANT	--	0.0
INV_LABIODENTAL_FLAP	--	0.0
INV_OPEN_MID_BACK_UNROUNDED_VOWEL	--	0.0
INV_VOICELESS_LABIO_VELAR_FRICATIVE	--	0.0
INV_PALATAL_LATERAL_APPROXIMANT	--	0.0
INV_CLOSE_CLOSE_MID_HIGH_FRONT_ROUNDED_VOWEL	--	0.0
INV_VOICED_RETROFLEX_FRICATIVE	--	0.0
INV_VOICED_ALVEOPALATAL_FRICATIVE	--	0.0
INV_VOICED_POSTALVEOLAR_FRICATIVE	--	0.0
INV_GLOTTAL_PLOSIVE	--	1.0
INV_VOICED_PHARYNGEAL_FRICATIVE	--	0.0
INV_VOICED_BILABIAL_TRILL	--	0.0
INV_VOICED_PALATAL_FRICATIVE	--	0.0
INV_VELAR_LATERAL_APPROXIMANT	--	0.0
INV_VOICED_BILABIAL_FRICATIVE	--	0.0
INV_VOICELESS_DENTAL_FRICATIVE	--	0.0
INV_VOICED_UVULAR_FRICATIVE	--	0.0
INV_PLACE_LABIAL	--	1.0
INV_PLACE_PALATALIZED_LAB	--	0.0
INV_PLACE_LABIOVELARIZED_LAB	--	0.0
INV_PLACE_LABIOVELAR	--	1.0
INV_PLACE_MANNER_LABIOVELAR_OBS	--	0.0
INV_PLACE_DENTAL	--	0.0
INV_PLACE_LABIOVELARIZED_ALVEOLAR	--	0.0
INV_PLACE_ALVEOLAR	--	1.0
INV_PLACE_PALATOALVEOLAR	--	0.0
INV_PLACE_ALVEOPALATAL	--	0.0
INV_PLACE_PALATAL	--	1.0
INV_PLACE_RETROFLEX	--	0.0
INV_PLACE_MANNER_RETROFLEX_OBS	--	0.0
INV_PLACE_VELAR	--	1.0
INV_PLACE_PALATALIZED_VELAR	--	1.0
INV_PLACE_LABIOVELARIZED_VELAR	--	1.0
INV_PLACE_UVULAR	--	0.0
INV_PLACE_PHAR_EPIGLOTTAL	--	0.0
INV_PLACE_GLOTTAL	--	1.0
INV_PLACE_FRONT_ROUND	--	0.0
INV_PLACE_NON_LOW_UNROUNDED	--	1.0
INV_APICICAL_LAMIMANL	--	0.0
INV_VELAR_UVULAR	--	0.0
INV_NASAL_MINUS_NASAL	--	0.0
INV_TENSE_MINUS_TENSE	--	0.0
INV_ROUND_MINUS_ROUND	--	0.0
INV_HI_MINUS_HI	--	1.0
INV_LO_MINUS_LO	--	0.0
INV_VOWEL_3	--	0.0
INV_VOWEL_4	--	1.0
INV_VOWEL_5	--	0.0
INV_VOWEL_6	--	0.0
INV_VOWEL_7	--	0.0
INV_VOW_8	--	0.0
INV_VOW_9	--	0.0
INV_VOW_10_MORE	--	0.0
INV_CONS_ASP	--	0.0
INV_OBS_VD_VLESS	--	1.0
INV_CONT_VD_VLESS	--	1.0
INV_SON_VD_VLESS	--	0.0
INV_VOW_VD_VLESS	--	0.0
S_SVO	1.0	0.0
S_SOV	0.0	1.0
S_VSO	0.0	0.0
S_VOS	0.0	0.0
S_OVS	0.0	0.0
S_OSV	0.0	0.0
S_SUBJECT_BEFORE_VERB	1.0	1.0
S_SUBJECT_AFTER_VERB	0.0	0.0
S_OBJECT_AFTER_VERB	1.0	0.0
S_OBJECT_BEFORE_VERB	0.0	1.0
S_SUBJECT_BEFORE_OBJECT	1.0	1.0
S_SUBJECT_AFTER_OBJECT	0.0	0.0
S_GENDER_MARK	1.0	0.0
S_SEX_MARK	1.0	0.0
S_DEFINITE_AFFIX	0.0	0.0
S_DEFINITE_WORD	1.0	0.0
S_INDEFINITE_AFFIX	0.0	0.0
S_INDEFINITE_WORD	1.0	0.0
S_POSSESSIVE_PREFIX	0.0	1.0
S_POSSESSIVE_SUFFIX	0.0	0.0
S_ADPOSITION_BEFORE_NOUN	1.0	0.0
S_ADPOSITION_AFTER_NOUN	0.0	1.0
S_POSSESSOR_BEFORE_NOUN	0.0	1.0
S_POSSESSOR_AFTER_NOUN	1.0	0.0
S_ADJECTIVE_BEFORE_NOUN	1.0	0.0
S_ADJECTIVE_AFTER_NOUN	1.0	1.0
S_DEMONSTRATIVE_WORD_BEFORE_NOUN	1.0	1.0
S_DEMONSTRATIVE_WORD_AFTER_NOUN	0.0	0.0
S_DEMONSTRATIVE_PREFIX	0.0	0.0
S_DEMONSTRATIVE_SUFFIX	0.0	0.0
S_NUMERAL_BEFORE_NOUN	1.0	1.0
S_NUMERAL_AFTER_NOUN	0.0	0.0
S_RELATIVE_BEFORE_NOUN	0.0	0.0
S_RELATIVE_AFTER_NOUN	1.0	1.0
S_RELATIVE_AROUND_NOUN	0.0	0.0
S_NOMINATIVE_VS_ACCUSATIVE_MARK	1.0	1.0
S_ERGATIVE_VS_ABSOLUTIVE_MARK	0.0	0.0
S_NEGATIVE_WORD_BEFORE_VERB	1.0	0.0
S_NEGATIVE_PREFIX	0.0	0.0
S_NEGATIVE_WORD_AFTER_VERB	0.0	0.0
S_NEGATIVE_SUFFIX	0.0	1.0
S_NEGATIVE_WORD_BEFORE_SUBJECT	0.0	0.0
S_NEGATIVE_WORD_AFTER_SUBJECT	1.0	0.0
S_NEGATIVE_WORD_BEFORE_OBJECT	1.0	0.0
S_NEGATIVE_WORD_AFTER_OBJECT	0.0	0.0
S_NEGATIVE_WORD_INITIAL	0.0	0.0
S_NEGATIVE_WORD_FINAL	0.0	0.0
S_NEGATIVE_WORD_ADJACENT_BEFORE_VERB	1.0	0.0
S_NEGATIVE_WORD_ADJACENT_AFTER_VERB	0.0	0.0
S_PLURAL_PREFIX	0.0	0.0
S_PLURAL_SUFFIX	1.0	1.0
S_PLURAL_WORD	0.0	0.0
S_OBJECT_HEADMARK	0.0	1.0
S_OBJECT_DEPMARK	1.0	0.0
S_POSSESSIVE_HEADMARK	0.0	1.0
S_POSSESSIVE_DEPMARK	1.0	0.0
S_TEND_HEADMARK	0.0	0.0
S_TEND_DEPMARK	0.0	0.0
S_TEND_PREFIX	0.0	1.0
S_TEND_SUFFIX	1.0	0.0
S_ANY_REDUP	0.0	1.0
S_CASE_PREFIX	0.0	0.0
S_CASE_SUFFIX	0.0	0.0
S_CASE_PROCLITIC	0.0	0.0
S_CASE_ENCLITIC	0.0	0.0
S_CASE_MARK	0.0	1.0
S_COMITATIVE_VS_INSTRUMENTAL_MARK	0.0	1.0
S_NUMCLASS_MARK	0.0	0.0
S_ADJECTIVE_WITHOUT_NOUN	1.0	1.0
S_PERFECTIVE_VS_IMPERFECTIVE_MARK	1.0	0.0
S_PAST_VS_PRESENT_MARK	1.0	1.0
S_FUTURE_AFFIX	0.0	1.0
S_TAM_PREFIX	0.0	0.0
S_TAM_SUFFIX	1.0	1.0
S_DEGREE_WORD_BEFORE_ADJECTIVE	1.0	1.0
S_DEGREE_WORD_AFTER_ADJECTIVE	0.0	0.0
S_POLARQ_MARK_INITIAL	0.0	0.0
S_POLARQ_MARK_FINAL	0.0	0.0
S_POLARQ_MARK_SECOND	0.0	0.0
S_POLARQ_WORD	1.0	1.0
S_POLARQ_AFFIX	0.0	0.0
S_SUBORDINATOR_WORD_BEFORE_CLAUSE	1.0	0.0
S_SUBORDINATOR_WORD_AFTER_CLAUSE	0.0	1.0
S_SUBORDINATOR_SUFFIX	0.0	0.0
S_PROSUBJECT_WORD	0.0	0.0
S_PROSUBJECT_AFFIX	1.0	1.0
S_PROSUBJECT_CLITIC	0.0	0.0
S_NEGATIVE_AFFIX	0.0	0.0
S_NEGATIVE_WORD	1.0	1.0
S_ANY_AGREEMENT_ON_ADJECTIVES	1.0	1.0
S_COMPLEMENTIZER_WORD_BEFORE_CLAUSE	1.0	1.0
S_COMPLEMENTIZER_WORD_AFTER_CLAUSE	0.0	0.0
S_VOX	1.0	1.0
S_XVO	0.0	0.0
S_XOV	0.0	0.0
S_OXV	0.0	0.0
S_OVX	0.0	0.0
S_OBLIQUE_AFTER_VERB	1.0	1.0
S_OBLIQUE_AFTER_OBJECT	1.0	1.0
S_OBLIQUE_BEFORE_VERB	0.0	0.0
S_OBLIQUE_BEFORE_OBJECT	0.0	0.0
S_ARTICLE_WORD_BEFORE_NOUN	1.0	1.0
S_ARTICLE_WORD_AFTER_NOUN	0.0	0.0
P_VOICE	1.0	1.0
P_VOICED_PLOSIVES	1.0	0.0
P_VOICED_FRICATIVES	1.0	1.0
P_EJECTIVES	0.0	0.0
P_IMPLOSIVES	0.0	0.0
P_GLOTTALIZED_RESONANTS	0.0	0.0
P_UVULARS	0.0	0.0
P_UVULAR_STOPS	0.0	0.0
P_UVULAR_CONTINUANTS	0.0	0.0
P_LATERALS	1.0	1.0
P_LATERAL_L	1.0	1.0
P_LATERAL_OBSTRUENTS	0.0	0.0
P_NASAL_VOWELS	0.0	0.0
P_FRONT_ROUND_VOWELS	0.0	0.0
P_BILABIALS	1.0	1.0
P_FRICATIVES	1.0	1.0
P_NASALS	1.0	1.0
P_LABIAL_VELARS	0.0	0.0
P_CLICKS	0.0	0.0
P_TH	0.0	0.0
P_PHARYNGEALS	0.0	0.0
P_COMPLEX_ONSETS	1.0	0.0
P_TONE	0.0	0.0
P_VELAR_NASAL	0.0	0.0
P_VELAR_NASAL_INITIAL	0.0	0.0
P_CODAS	0.0	0.0
P_COMPLEX_CODAS	0.0	0.0
P_LONG_VOWELS	0.0	0.0
INV_OPEN_FRONT_UNROUNDED_VOWEL	1.0	1.0
INV_VOICED_BILABIAL_PLOSIVE	1.0	1.0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_LABIODENTAL_FRICATIVE	0.0	0.0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_BILABIAL_FRICATIVE	0.0	0.0
INV_VOICELESS_PALATAL_PLOSIVE	0.0	1.0
INV_VOICELESS_PALATAL_PLOSIVE_WITH_VOICELESS_PALATAL_FRICATIVE	0.0	0.0
INV_VOICED_ALVEOLAR_PLOSIVE	1.0	0.0
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_DENTAL_FRICATIVE	0.0	0.0
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOLAR_LATERAL_FRICATIVE	0.0	0.0
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOPALATAL_FRICATIVE	0.0	0.0
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_POSTALVEOLAR_FRICATIVE	0.0	0.0
INV_CLOSE_MID_FRONT_UNROUNDED_VOWEL	1.0	1.0
INV_VOICELESS_LABIODENTAL_FRICATIVE	1.0	0.0
INV_VOICELESS_GLOTTAL_FRICATIVE	0.0	0.0
INV_CLOSE_FRONT_UNROUNDED_VOWEL	1.0	1.0
INV_PALATAL_APPROXIMANT	1.0	1.0
INV_VOICELESS_VELAR_PLOSIVE	1.0	1.0
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_BILABIAL_PLOSIVE	0.0	0.0
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_VELAR_FRICATIVE	0.0	0.0
INV_ALVEOLAR_LATERAL_APPROXIMANT	1.0	0.0
INV_BILABIAL_NASAL	1.0	1.0
INV_ALVEOLAR_NASAL	1.0	1.0
INV_CLOSE_MID_BACK_UNROUNDED_VOWEL	0.0	0.0
INV_VOICELESS_BILABIAL_PLOSIVE	1.0	1.0
INV_VOICELESS_BILABIAL_PLOSIVE_WITH_VOICELESS_LABIODENTAL_FRICATIVE	0.0	0.0
INV_VOICELESS_BILABIAL_PLOSIVE_WITH_VOICELESS_ALVEOLAR_PLOSIVE	0.0	0.0
INV_VOICELESS_BILABIAL_PLOSIVE_WITH_VOICELESS_BILABIAL_FRICATIVE	0.0	0.0
INV_VOICELESS_UVULAR_PLOSIVE	0.0	0.0
INV_VOICELESS_UVULAR_PLOSIVE_WITH_VOICED_UVULAR_FRICATIVE	0.0	0.0
INV_ALVEOLAR_TRILL	0.0	0.0
INV_VOICELESS_ALVEOLAR_FRICATIVE	1.0	1.0
INV_VOICELESS_ALVEOLAR_PLOSIVE	1.0	1.0
INV_VOICELESS_ALVEOLAR_PLOSIVE_WITH_VOICELESS_ALVEOLAR_FRICATIVE	0.0	0.0
INV_VOICELESS_ALVEOLAR_PLOSIVE_WITH_VOICELESS_ALVEOPALATAL_FRICATIVE	0.0	0.0
INV_VOICELESS_ALVEOLAR_PLOSIVE_WITH_VOICELESS_ALVEOLAR_LATERAL_FRICATIVE	0.0	0.0
INV_VOICELESS_ALVEOLAR_PLOSIVE_WITH_VOICELESS_DENTAL_FRICATIVE	0.0	0.0
INV_CLOSE_BACK_ROUNDED_VOWEL	1.0	1.0
INV_VOICED_LABIODENTAL_FRICATIVE	1.0	0.0
INV_VOICED_LABIAL_VELAR_APPROXIMANT	1.0	1.0
INV_VOICELESS_VELAR_FRICATIVE	1.0	0.0
INV_CLOSE_FRONT_ROUNDED_VOWEL	0.0	0.0
INV_OPEN_OPEN_MID_FRONT_UNROUNDED_VOWEL	0.0	0.0
INV_VOICELESS_PALATAL_FRICATIVE	0.0	0.0
INV_VOICED_DENTAL_FRICATIVE	0.0	0.0
INV_CLOSE_MID_FRONT_ROUNDED_VOWEL	0.0	0.0
INV_VOICELESS_PHARYNGEAL_FRICATIVE	0.0	0.0
INV_VELAR_NASAL	1.0	0.0
INV_OPEN_MID_FRONT_ROUNDED_VOWEL	0.0	0.0
INV_OPEN_OPEN_MID_CENTRAL_UNROUNDED_VOWEL	1.0	0.0
INV_OPEN_BACK_UNROUNDED_VOWEL	0.0	0.0
INV_OPEN_BACK_ROUNDED_VOWEL	0.0	0.0
INV_VOICED_BILABIAL_IMPLOSIVE	0.0	0.0
INV_OPEN_MID_BACK_ROUNDED_VOWEL	1.0	0.0
INV_VOICELESS_ALVEOPALATAL_FRICATIVE	0.0	0.0
INV_VOICED_RETROFLEX_PLOSIVE	0.0	0.0
INV_VOICED_RETROFLEX_PLOSIVE_WITH_VOICED_RETROFLEX_FRICATIVE	0.0	0.0
INV_VOICED_ALVEOLAR_IMPLOSIVE	0.0	0.0
INV_CLOSE_MID_CENTRAL_UNROUNDED_VOWEL	0.0	0.0
INV_MID_CENTRAL_UNROUNDED_VOWEL	0.0	0.0
INV_OPEN_MID_FRONT_UNROUNDED_VOWEL	1.0	0.0
INV_OPEN_MID_CENTRAL_UNROUNDED_RHOTIC_VOWEL	0.0	0.0
INV_OPEN_MID_CENTRAL_ROUNDED_VOWEL	0.0	0.0
INV_VOICED_PALATAL_PLOSIVE	0.0	0.0
INV_VOICED_PALATAL_PLOSIVE_WITH_VOICED_PALATAL_FRICATIVE	0.0	0.0
INV_VOICED_VELAR_IMPLOSIVE	0.0	0.0
INV_VOICED_VELAR_PLOSIVE_WITH_VOICED_BILABIAL_PLOSIVE	0.0	0.0
INV_VOICED_VELAR_PLOSIVE_WITH_VOICED_VELAR_FRICATIVE	0.0	0.0
INV_VOICED_UVULAR_PLOSIVE	0.0	0.0
INV_VOICED_VELAR_FRICATIVE	0.0	0.0
INV_VOICED_LABIAL_PALATAL_APPROXIMANT	0.0	0.0
INV_VOICED_GLOTTAL_FRICATIVE	0.0	0.0
INV_VOICELESS_POSTALVEOLAR_VELAR_FRICATIVE	0.0	0.0
INV_CLOSE_CENTRAL_UNROUNDED_VOWEL	0.0	0.0
INV_CLOSE_CLOSE_MID_HIGH_FRONT_UNROUNDED_VOWEL	0.0	0.0
INV_VOICED_VELARIZED_LATERAL_APPROXIMANT	0.0	0.0
INV_VOICELESS_ALVEOLAR_LATERAL_FRICATIVE	0.0	0.0
INV_VOICED_RETROFLEX_LATERAL_APPROXIMANT	0.0	0.0
INV_VOICED_ALVEOLAR_LATERAL_FRICATIVE	0.0	0.0
INV_CLOSE_BACK_UNROUNDED_VOWEL	0.0	0.0
INV_VELAR_APPROXIMANT	0.0	0.0
INV_LABIODENTAL_NASAL	1.0	0.0
INV_PALATAL_NASAL	1.0	0.0
INV_RETROFLEX_NASAL	0.0	0.0
INV_UVULAR_NASAL	0.0	0.0
INV_CLOSE_MID_CENTRAL_ROUNDED_VOWEL	0.0	0.0
INV_OPEN_FRONT_ROUNDED_VOWEL	0.0	0.0
INV_VOICELESS_BILABIAL_FRICATIVE	0.0	0.0
INV_ALVEOLAR_APPROXIMANT	0.0	0.0
INV_VOICED_ALVEOLAR_LATERAL_FLAP	0.0	0.0
INV_RETROFLEX_APPROXIMANT	0.0	0.0
INV_RETROFLEX_FLAP	0.0	0.0
INV_ALVEOLAR_TAP	1.0	1.0
INV_UVULAR_TRILL	0.0	0.0
INV_UVULAR_APPROXIMANT	0.0	0.0
INV_VOICELESS_RETROFLEX_FRICATIVE	0.0	0.0
INV_VOICELESS_POSTALVEOLAR_FRICATIVE	1.0	1.0
INV_VOICED_PALATAL_IMPLOSIVE	0.0	0.0
INV_VOICELESS_RETROFLEX_PLOSIVE	0.0	0.0
INV_VOICELESS_RETROFLEX_PLOSIVE_WITH_VOICELESS_RETROFLEX_FRICATIVE	0.0	0.0
INV_CLOSE_CENTRAL_ROUNDED_VOWEL	0.0	0.0
INV_LABIODENTAL_APPROXIMANT	0.0	0.0
INV_LABIODENTAL_FLAP	0.0	0.0
INV_OPEN_MID_BACK_UNROUNDED_VOWEL	0.0	0.0
INV_VOICELESS_LABIO_VELAR_FRICATIVE	0.0	0.0
INV_PALATAL_LATERAL_APPROXIMANT	1.0	0.0
INV_CLOSE_CLOSE_MID_HIGH_FRONT_ROUNDED_VOWEL	0.0	0.0
INV_VOICED_RETROFLEX_FRICATIVE	0.0	0.0
INV_VOICED_ALVEOPALATAL_FRICATIVE	0.0	0.0
INV_VOICED_POSTALVEOLAR_FRICATIVE	1.0	0.0
INV_GLOTTAL_PLOSIVE	0.0	1.0
INV_VOICED_PHARYNGEAL_FRICATIVE	0.0	0.0
INV_VOICED_BILABIAL_TRILL	0.0	0.0
INV_VOICED_PALATAL_FRICATIVE	0.0	0.0
INV_VELAR_LATERAL_APPROXIMANT	0.0	0.0
INV_VOICED_BILABIAL_FRICATIVE	0.0	0.0
INV_VOICELESS_DENTAL_FRICATIVE	0.0	0.0
INV_VOICED_UVULAR_FRICATIVE	0.0	0.0
INV_PLACE_LABIAL	1.0	1.0
INV_PLACE_PALATALIZED_LAB	0.0	0.0
INV_PLACE_LABIOVELARIZED_LAB	0.0	0.0
INV_PLACE_LABIOVELAR	1.0	1.0
INV_PLACE_MANNER_LABIOVELAR_OBS	0.0	0.0
INV_PLACE_DENTAL	1.0	0.0
INV_PLACE_LABIOVELARIZED_ALVEOLAR	0.0	0.0
INV_PLACE_ALVEOLAR	1.0	1.0
INV_PLACE_PALATOALVEOLAR	0.0	0.0
INV_PLACE_ALVEOPALATAL	0.0	0.0
INV_PLACE_PALATAL	1.0	1.0
INV_PLACE_RETROFLEX	0.0	0.0
INV_PLACE_MANNER_RETROFLEX_OBS	0.0	0.0
INV_PLACE_VELAR	1.0	1.0
INV_PLACE_PALATALIZED_VELAR	1.0	1.0
INV_PLACE_LABIOVELARIZED_VELAR	1.0	1.0
INV_PLACE_UVULAR	0.0	0.0
INV_PLACE_PHAR_EPIGLOTTAL	0.0	0.0
INV_PLACE_GLOTTAL	1.0	1.0
INV_PLACE_FRONT_ROUND	0.0	0.0
INV_PLACE_NON_LOW_UNROUNDED	1.0	1.0
INV_APICICAL_LAMIMANL	1.0	0.0
INV_VELAR_UVULAR	0.0	0.0
INV_NASAL_MINUS_NASAL	1.0	0.0
INV_TENSE_MINUS_TENSE	1.0	0.0
INV_ROUND_MINUS_ROUND	1.0	0.0
INV_HI_MINUS_HI	1.0	1.0
INV_LO_MINUS_LO	0.0	0.0
INV_VOWEL_3	0.0	0.0
INV_VOWEL_4	0.0	1.0
INV_VOWEL_5	0.0	0.0
INV_VOWEL_6	0.0	0.0
INV_VOWEL_7	0.0	0.0
INV_VOW_8	0.0	0.0
INV_VOW_9	0.0	0.0
INV_VOW_10_MORE	1.0	0.0
INV_CONS_ASP	1.0	0.0
INV_OBS_VD_VLESS	1.0	1.0
INV_CONT_VD_VLESS	1.0	1.0
INV_SON_VD_VLESS	0.0	0.0
INV_VOW_VD_VLESS	0.0	0.0
INV_OPEN_FRONT_UNROUNDED_VOWEL	1.0	1.0
INV_VOICED_BILABIAL_PLOSIVE	1.0	1.0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_LABIODENTAL_FRICATIVE	0.0	0.0
